source_table,report_name,category
"s_dental_sc5","ร้อยละของของนักเรียนชั้น ป.3 มีฟันดีไม่มีผุ (Cavity Free)","อนามัยโรงเรียน"
"s_dental_sc6","ร้อยละของของนักเรียนชั้น ป.6 มีฟันดีไม่มีผุ (Cavity Free)","อนามัยโรงเรียน"
"s_dental_sc7","ร้อยละของของนักเรียนชั้น ม.1 มีฟันดีไม่มีผุ (Cavity Free)","อนามัยโรงเรียน"
"s_dental_sc8","ร้อยละนักเรียนชั้น ป.1 ปราศจากฟันผุในฟันแท้","อนามัยโรงเรียน"
"s_dental_sc9","ร้อยละนักเรียนชั้น ป.3 ปราศจากฟันผุในฟันแท้","อนามัยโรงเรียน"
"s_depressive_recover","ร้อยละของผู้ป่วยโรคซึมเศร้ามีอาการทุเลาในการติดตาม 6 เดือน","การเข้าถึงระบบบริการสุขภาพจิต"
"s_depressive_remission","ร้อยละของผู้ป่วยโรคซึมเศร้าหายทุเลา (Remission)","การเข้าถึงระบบบริการสุขภาพจิต"
"s_dm_ckd","ร้อยละของผู้ป่วยเบาหวานที่ยังไม่มีภาวะแทรกซ้อนทางไตได้รับการตรวจภาวะแทรกซ้อนทางไต","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_ckd1","ร้อยละของผู้ป่วยเบาหวานได้รับการตรวจภาวะแทรกซ้อนทางไต","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_complication","ผู้ป่วยเบาหวานจำแนกตามภาวะแทรกซ้อน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_control","ร้อยละผู้ป่วยโรคเบาหวานที่ควบคุมระดับน้ำตาลได้ดี","การเฝ้าระวัง"
"s_dm_control_monk","ผู้ป่วยโรคเบาหวานที่ควบคุมระดับน้ำตาลได้ดี กลุ่มพระภิกษุ-สามเณร","กลุ่มพระภิกษุ-สามเณร"
"s_dm_death_age","อัตราการป่วยตายด้วยโรคเบาหวาน","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_dm_foot","ร้อยละของผู้ป่วยเบาหวานที่ได้รับการตรวจภาวะแทรกซ้อนทางเท้า","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_hba1c","ร้อยละของผู้ป่วยโรคเบาหวานที่ได้รับการตรวจ HbA1c อย่างน้อย 1 ครั้ง/ปี","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_ht_control","ร้อยละของผู้ป่วยโรคเบาหวานและโรคความดันโลหิตสูงที่ควบคุมได้","การเฝ้าระวัง"
"s_dm_hypo","ร้อยละของการเกิดภาวะแทรกซ้อนเฉียบพลันในผู้ป่วยเบาหวาน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_incidence","อัตราป่วยรายใหม่ของโรคเบาหวานต่อแสนประชากรในปีงบประมาณ","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_dm_newcase","ร้อยละของผู้ป่วยเบาหวานรายใหม่ลดลง","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_pop_age","อัตราการป่วยด้วยโรคเบาหวาน","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_dm_retina_kpi","ร้อยละของผู้ป่วยเบาหวานที่ได้รับการตรวจภาวะแทรกซ้อนทางตา","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_screen","ร้อยละของประชากรอายุ 35 ปีขึ้นไปที่ได้รับการคัดกรองเพื่อวินิจฉัยเบาหวาน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_screen60_follow","ผู้สูงอายุคัดกรองเบาหวานสงสัยป่วยได้รับการติดตาม","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_screen_n","ร้อยละของประชากรอายุ 35-59 ปีที่ได้รับการคัดกรองเพื่อวินิจฉัยเบาหวาน","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_screen_pop_age","การคัดกรองเบาหวานในประชากรไทย จำแนกกลุ่มอายุ","การคัดกรอง"
"s_dm_screen_risk","ประชากร 35 ปีขึ้นไปได้รับการคัดกรอง และเสี่ยงต่อโรคเบาหวาน","การคัดกรอง"
"s_dm_type1","รายงาน DM TYPE1 จำแนกตามกลุ่มอายุ","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_visit","ร้อยละผู้ป่วยเบาหวานที่ขึ้นทะเบียนและมารับการรักษาต่อเนื่อง","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dm_visit_screen","การเข้าถึงบริการและการคัดกรองโรคเบาหวาน","การคัดกรอง"
"s_dmht3visit","ร้อยละของผู้ป่วยเบาหวาน ความดันโลหิตสูง ที่ได้รับการดูแลต่อเนื่องอย่างน้อย 3 ครั้ง/ปี ในระบบ NCD Clinic Plus","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dmht_ckd_acei_arb","ร้อยละของผู้ป่วยเบาหวาน และ/หรือ ความดันโลหิตสูงที่เป็น CKD 1-4 และได้รับยา ACEi/ARB","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dmht_ckd_egfr","ร้อยละของผู้ป่วยเบาหวาน และ/หรือ ความดันโลหิตสูง ที่เป็น CKD 3-4 ชะลอการลดลงของ eGFR ได้ตามเป้าหมาย","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dmht_incidence","อัตราผู้ป่วยความดันโลหิตสูงและเบาหวานรายใหม่","ข้อมูลเพื่อตอบสนอง Service Plan สาขาโรคไม่ติดต่อ (NCD DM,HT,CVD)"
"s_dspm_ill","เด็กพัฒนาการล่าช้า ที่ได้รับการวินิจฉัยจำแนกรายโรค","อนามัยแม่และเด็ก"
"s_dt_preg","การได้รับวัคซีนคอตีบ-บาดทะยัก (dT) ในหญิงตั้งครรภ์ (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_early_anc","ร้อยละ Early ANC (Workload)","อนามัยแม่และเด็ก"
"s_emphysema_pop_age","อัตราผู้ป่วยโรคถุงลมโป่งพองต่อประชากร","การป่วยด้วยโรคไม่ติดต่อที่สำคัญ"
"s_ems","ร้อยละของประชากรเข้าถึงบริการการแพทย์ฉุกเฉิน ในโรงพยายาลระดับ A,S,M1","การใช้บริการสาธารณสุข"
"s_envocc1","อัตราป่วยจากพิษสารกำจัดศัตรูพืช","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc10","จำนวนผู้ป่วยจากพิษสารตะกั่วจากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc11","อัตราป่วยจากพิษปรอทและสารประกอบจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc12","อัตราป่วยจากพิษปรอทและสารประกอบจากการทำงาน รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc13","จำนวนผู้ป่วยจากพิษปรอทและสารประกอบจากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc14","อัตราป่วยโรคระบบทางเดินหายใจ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc15","จำนวนครั้งการไปรับบริการของผู้ป่วยโรคระบบทางเดินหายใจ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc16","อัตราป่วยโรคระบบทางเดินหายใจ รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc17","อัตราป่วยโรคเรื้อรังของทางเดินหายใจส่วนล่าง","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc18","จำนวนครั้งการไปรับบริการของผู้ป่วยจากโรคเรื้อรังของทางเดินหายใจส่วนล่าง","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc19","อัตราป่วยโรคเรื้อรังของทางเดินหายใจส่วนล่าง รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc2","อัตราส่วนของผู้ป่วยจากพิษสารกำจัดศัตรูพืชต่อจำนวนครั้งของการไปรับบริการ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc20","อัตราป่วยโรคหัวใจขาดเลือด (I20-I25)","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc21","จำนวนครั้งการไปรับบริการของผู้ป่วยจากโรคหัวใจขาดเลือด","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc22","อัตราป่วยโรคหัวใจขาดเลือด รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc23","อัตราการบาดเจ็บจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc24","อัตราส่วนของผู้บาดเจ็บจากการทำงานต่อจำนวนครั้งของการไปรับบริการ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc25","อัตราการบาดเจ็บจากการทำงาน จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc26","จำนวนผู้บาดเจ็บจากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc27","ร้อยละของผู้บาดเจ็บจากการทำงาน จำแนกตามสิทธิการรักษาพยาบาล","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc28","อัตราป่วยโรคปอดฝุ่นหิน (Silicosis)","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc29","อัตราป่วยโรคปอดฝุ่นหิน (Silicosis) รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc3","อัตราป่วยจากพิษสารกำจัดศัตรูพืช จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc30","อัตราป่วยโรคระบบทางเดินหายใจที่เกิดจากแอสเบสตอส","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc31","อัตราป่วยโรคระบบทางเดินหายใจที่เกิดจากแอสเบสตอส รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc32","อัตราป่วยโรคมะเร็งเยื่อหุ้มปอดมีโซทิลิโอมา (Mesothelioma)","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc33","อัตราป่วยโรคมะเร็งเยื่อหุ้มปอดมีโซทิลิโอมา (Mesothelioma) รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc34","อัตราป่วยโรคการได้ยินเสื่อมจากเสียง","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc35","อัตราป่วยโรคการได้ยินเสื่อมจากเสียง รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc36","จำนวนผู้ป่วยโรคการได้ยินเสื่อมจากเสียง จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc37","อัตราป่วยจากพิษสารตัวทำละลายอินทรีย์จากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc38","อัตราป่วยจากพิษสารตัวทำละลายอินทรีย์จากการทำงาน รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc39","จำนวนผู้ป่วยจากพิษสารตัวทำละลายอินทรีย์จากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc4","จำนวนผู้ป่วยจากพิษสารกำจัดศัตรูพืชจำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc40","อัตราป่วยโรคกระดูกและกล้ามเนื้อจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc41","อัตราป่วยโรคกระดูกและกล้ามเนื้อจากการทำงาน รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc42","จำนวนผู้ป่วยโรคกระดูกและกล้ามเนื้อจากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc43","อัตราป่วยโรคจากความร้อน(กลุ่ม Heat stroke)จากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc44","อัตราป่วยโรคจากความร้อนจากการทำงาน จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc45","จำนวนผู้ป่วยโรคจากความร้อนจากการทำงานจำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc46","รายงานการตรวจคัดกรองสมรรถภาพการมองเห็น ในประชากรไทย อายุ 15-65 ปี","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc47","รายงานการตรวจคัดกรองสมรรถภาพทางการมองเห็นในประชากรไทย อายุ 15 - 65 ปี จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc48","รายงานการตรวจคัดกรองสมรรถภาพทางปอด ในประชากรไทย อายุ 15-65 ปี","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc49","รายงานการตรวจคัดกรองสมรรถภาพทางปอด ในประชากรไทยอายุ 15 - 65 ปี จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc5","อัตราป่วยจากพิษโลหะหนักจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc50","รายงานการตรวจเอ็กซเรย์ปอดฟิล์มใหญ่ในวัยทำงาน ในประชากรไทย อายุ 15 - 65 ปี","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc51","รายงานการตรวจเอ็กซเรย์ปอดฟิล์มใหญ่ในวัยทำงานในประชากรไทย อายุ 15 - 65 ปี จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc52","รายงานการตรวจคัดกรองเพื่อหาความเสี่ยงจากสารกำจัดศัตรูพืช ในประชากรไทย อายุ 15 ปีขึ้นไป","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc53","รายงานการตรวจคัดกรองเพื่อหาความเสี่ยงจากสารกำจัดศัตรูพืช ในประชากรไทย อายุ 15 ปีขึ้นไป จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc54","อัตราป่วยโรคผิวหนังจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc55","อัตราป่วยโรคผิวหนังจากการทำงาน จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc56","จำนวนผู้ป่วยโรคผิวหนังจากการทำงาน จำแนกอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc57","อัตราป่วยจากพิษโลหะหนักรวมทุกสาเหตุ รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc58","อัตราป่วยจากพิษสารตะกั่วรวมทุกสาเหตุ รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc59","อัตราป่วยโรคระบบทางเดินหายใจที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc6","อัตราป่วยจากพิษโลหะหนักจากการทำงาน จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc60","จำนวนครั้งการไปรับบริการของผู้ป่วยโรคระบบทางเดินหายใจที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc61","อัตราป่วยโรคระบบทางเดินหายใจที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97 รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc62","อัตราป่วยโรคเรื้อรังของทางเดินหายใจส่วนล่างที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc63","จำนวนครั้งการไปรับบริการของผู้ป่วยจากโรคเรื้อรังของทางเดินหายใจส่วนล่าง ที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc64","อัตราป่วยโรคเรื้อรังของทางเดินหายใจส่วนล่างที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97 รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc65","อัตราป่วยโรคหัวใจขาดเลือดที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc66","จำนวนครั้งการไปรับบริการของผู้ป่วยโรคหัวใจขาดเลือด ที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97 จำแนกรายเดือน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc67","อัตราป่วยโรคหัวใจขาดเลือดที่ระบุว่าเกิดจากมลพิษสิ่งแวดล้อม Y97 จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc68","อัตราป่วยโรคหอบหืดจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc69","อัตราป่วยโรคหอบหืดจากการทำงาน จำแนกรายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc7","อัตราป่วยจากพิษโลหะหนักจากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc70","จำนวนผู้ป่วยโรคหอบหืดจากการทำงาน จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc8","อัตราป่วยจากพิษสารตะกั่วจากการทำงาน","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_envocc9","อัตราป่วยจากพิษสารตะกั่วจากการทำงาน รายกลุ่มอายุ","โรคจากการประกอบอาชีพและสิ่งแวดล้อม"
"s_epi1","ความครอบคลุมของเด็กอายุครบ 1 ปีที่ได้รับวัคซีน BCG ,HBV1,DTP1,DTP3,HBV3,Hib3,โปลิโอ3, MMR1,IPV,Rota รายไตรมาส","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi12_w","ผลการให้บริการวัคซีนรณรงค์/เก็บตก/ควบคุมโรคในเด็กอายุต่ำกว่า 12 ปี","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi1_w","การให้บริการวัคซีนในเด็กกลุ่มอายุ 0-1 ปี จำแนกรายวัคซีน (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi2","ความครอบคลุมของเด็กอายุครบ 2 ปีที่ได้รับวัคซีนแต่ละชนิด รายไตรมาส","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi2_w","การให้บริการวัคซีนในเด็กกลุ่มอายุ 1-2 ปี จำแนกรายวัคซีน (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi3","ความครอบคลุมของเด็กอายุครบ 3 ปี ที่ได้รับวัคซีนแต่ละชนิด รายไตรมาส","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi3_w","การให้บริการวัคซีนในเด็กกลุ่มอายุ 2-3 ปี จำแนกรายวัคซีน (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi5","ความครอบคลุมของเด็กอายุครบ 5 ปีที่ได้รับวัคซีน DTP5,โปลิโอ5 รายไตรมาส","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi5_w","การให้บริการวัคซีนในเด็กกลุ่มอายุ 3-5 ปี จำแนกรายวัคซีน (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi7","ความครอบคลุมการได้รับวัคซีนแต่ละชนิดครบตามเกณฑ์ในเด็กอายุครบ 7 ปี (fully immunized)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_074","การได้รับวัคซีนหัด-หัดเยอรมันในนักศึกษาทางการแพทย์และสาธารณสุข (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_106","ความครอบคลุมการได้รับวัคซีนคอตีบ-บาดทะยัก ในผู้ใหญ่","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_106w","การได้รับวัคซีน dT/Tdap ในผู้ใหญ่(work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_complete","ความครอบคลุมการได้รับวัคซีนแต่ละชนิดครบตามเกณฑ์ในเด็กอายุครบ 1 ปี (fully immunized)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_complete","ความครอบคลุมการได้รับวัคซีนแต่ละชนิดครบตามเกณฑ์ในเด็กอายุครบ 2 ปี (fully immunized)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_complete","ความครอบคลุมการได้รับวัคซีนแต่ละชนิดครบตามเกณฑ์ในเด็กอายุครบ 3 ปี (fully immunized)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_complete","ความครอบคลุมการได้รับวัคซีนแต่ละชนิดครบตามเกณฑ์ในเด็กอายุครบ 5 ปี (fully immunized)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_p1_6","การได้รับวัคซีน dT ในเด็กนักเรียนชั้น ป.6 (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_p1w","การให้บริการวัคซีนในเด็กนักเรียนชั้น ป.1 จำแนกรายวัคซีน (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_p5","การได้รับวัคซีนเอชพีวีในเด็กนักเรียนหญิงชั้น ป.5 (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_p5_sc","ความครอบคลุมการได้รับวัคซีนเอชพีวีในเด็กนักเรียนหญิงชั้น ป.5","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_p5alien","การได้รับวัคซีนเอชพีวีในเด็กนักเรียนหญิงชั้น ป.5ต่างด้าว (work load)","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epi_p6","ความครอบคลุมการได้รับวัคซีน dT ในเด็กนักเรียนชั้น ป.6","การสร้างเสริมภูมิคุ้มกันโรค"
"s_epidem","KPI เด็กอายุ 0 -5 ปี ป่วยโรคหัด","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยด้วยโรคมาลาเรียต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยด้วยโรคไข้เลือดออกต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยโรคคอตีบต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยโรคปอดอักเสบ (ปอดบวม) ต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยโรคหัดต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยโรคอุจจาระร่วงต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยโรคไข้สมองอักเสบต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_epidem","อัตราป่วยโรคไอกรนต่อประชากรแสนคน","การป่วยด้วยโรคติดต่อที่สำคัญ"
"s_f10_smiv_bst","รายงานผู้ที่มีพฤติกรรมก่อความรุนแรง (SMI-V) จากระบบ ฐานข้อมูล บสต. (อยู่ระหว่างขั้นตอนขอใช้ข้อมูลจากระบบ บสต. ตามพระราชบัญติ) (อยู่ระหว่างขั้นตอนขอใช้ข้อมูลจากระบบ บสต. ตามพระราชบัญติ)","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f10_smiv_bst","รายงานผู้ที่มีพฤติกรรมก่อความรุนแรง (SMI-V) จากระบบ ฐานข้อมูล บสต.","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f10_smiv_bst","ร้อยละผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท ที่มีพฤติกรรมก่อความรุนแรง (SMI-V) จากระบบ ฐานข้อมูล บสต.","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f10_smiv_bst1","ร้อยละผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท จากระบบฐานข้อมูล บสต. และฐานข้อมูลจิตเวชในระบบ HDC ที่มีพฤติกรรมก่อความรุนแรง (SMI-V)","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f10_smiv_bst2","ร้อยละผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท จากระบบฐานข้อมูล บสต. ไม่พบในฐานข้อมูลจิตเวชของระบบ HDC ที่มีพฤติกรรมก่อความรุนแรง (SMI-V)","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f10_smiv_bst3","ร้อยละผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท จากฐานข้อมูลจิตเวชของระบบ HDC แต่ไม่พบ ในระบบฐานข้อมูล บสต. ที่มีพฤติกรรมก่อความรุนแรง (SMI-V)","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f10_smiv_bst4","รายงานเปรียบเทียบข้อมูล จำนวนผู้ป่วยที่มีความผิดปกติทางจิตและพฤติกรรม ที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตและประสาทและมีพฤติกรรมก่อความรุนแรง (SM-IV) ระหว่างระบบฐานข้อมูล บสต และระบบจิตเวชของข้อมูล HDC","การบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติด จากระบบ(บสต.)"
"s_f12_ipd","ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้กัญชา (Cannabinoid) ผู้ป่วยใน","สาเหตุการป่วย/ตาย "
"s_f12_ipd_mm","ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้กัญชา (Cannabinoid) ผู้ป่วยใน จำแนกรายเดือน","สาเหตุการป่วย/ตาย "
